"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.Q","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.Q","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.Q","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"1",0,1.00636472142298,4,1.26128686466262,13.0643432228757,0.63477479506118,3.30020417806676,0.143203735660014,0.349277645594479,0.105826552319727,2.13811342948494e-19,2.78540298020172,10.1932047060034,366.8319206111,3799.62580301033,184.617523381642,959.829417848439,41.6492892002794,101.583702446801,30.7785314560304,6.21847636566123e-17,810.104944029994,2964.58558655132,6.01409415358805,2.81336493854371,13.42152849047,1.60852091344171,0.231491930900427,8.59832165881931,0.364106059423815,6.21847636566123e-18,81.0104944029994,33.229885453562,10,1e-05,25.1234359818173,6.69974617058272,8.30321861469636,15.388649987141,2.01706885707915,64.6023933291549,19.5736791170566,147.291808001749
"2",0.01,0.98400106093353,4,1.26128686794456,13.0643433974517,0.634774811445199,3.3002040944494,0.143203734416182,0.349277640622045,0.105826543698623,0.0517946848728376,2.84870766874171,10.1932049760552,358.680101081504,3715.18972364931,180.514916407712,938.499851438027,40.7237490860033,99.3262854214789,30.0945616382941,14.7291811861555,810.104965447755,2898.7059836071,5.88044760645652,2.75084577916714,13.1232727229153,1.57277596950995,0.226347660725369,8.40724798898874,0.356014795856775,1.47291811861555,81.0104965447755,32.4914447169864,10,1e-05,25.1234356112075,6.69974622286595,8.30321831126651,15.3886492670795,2.01706875033986,64.6023924094535,19.5736775224974,147.291811903997
"3",0.02,0.961637400795501,4,1.26128687013061,13.0643435053513,0.634774823056878,3.30020402373396,0.143203729649407,0.349277635684075,0.10582654181483,0.10599842631864,2.9149567374016,10.1932051663149,350.528281333018,3630.75362482823,176.412307960169,917.170290029252,39.7982080232762,97.068868505482,29.4105938151311,29.4583627891329,810.104980491614,2832.82635603208,5.74680112926754,2.6883266005473,12.8250166791714,1.53703102713239,0.221203390728703,8.21617416402621,0.347923548924182,2.94583627891329,81.0104980491615,31.7530037853776,10,1e-05,25.1234363123496,6.6997462795378,8.30321777736942,15.3886477597345,2.01706855437736,64.6023914961265,19.573677174071,147.29181465325
"4",0.03,0.939273739928018,4,1.26128686323089,13.0643431614996,0.634774800852574,3.30020405233806,0.143203732916943,0.349277638372869,0.10582653791619,0.162783292157361,2.98436035565146,10.1932047728768,342.376458824047,3546.31739923036,172.309690049361,895.840755799133,38.8726691728909,94.8114536499684,28.7266254470783,44.1875426988851,810.104949325694,2766.94656540404,5.61315474239097,2.62580723922578,12.5267597819682,1.50128610340866,0.216059137725177,8.02510040333181,0.33983229088174,4.41875426988851,81.0104949325694,31.0145600666796,10,1e-05,25.1234391024574,6.69974668471014,8.30321875334799,15.3886493195245,2.01706872572545,64.6023919934459,19.5736764529785,147.29180896807
"5",0.04,0.916910079457903,4,1.26128686573,13.0643432864698,0.634774806258173,3.30020408319587,0.143203736003482,0.349277640715316,0.105826543024955,0.222338157216916,3.05714966153344,10.1932048693179,334.224639039678,3461.88130380921,168.207079814732,874.511222175471,37.9471302487525,92.554038708032,28.0426595284186,58.9167241486827,810.104956991615,2701.06691084387,5.47950808393579,2.56328807069127,12.2285039503966,1.46554120825314,0.21091489701645,7.83402664591528,0.331741062263875,5.89167241486827,81.0104956991615,30.2761183291421,10,1e-05,25.1234371166042,6.69974657463887,8.30321740234049,15.3886499531936,2.01706876715315,64.6023924267048,19.5736773978957,147.291810361644
"6",0.05,0.89454641721299,4,1.26128688035782,13.0643440268697,0.634774847518556,3.30020409283086,0.143203733244244,0.349277653840078,0.105826537844547,0.284870787627895,3.13357864899741,10.1932056401828,326.072821711631,3377.44535917505,164.104478453963,853.1816809736,37.0215896999922,90.296626344153,27.3586908294445,73.6459111654998,810.105018966053,2635.18742416349,5.34586110576357,2.50076908782452,11.930249055703,1.42979638957853,0.205770600260147,7.64295331978466,0.323649809778034,7.36459111654998,81.0105018966053,29.5376791187939,10,1e-05,25.1234293002222,6.69974513209265,8.30321643289942,15.3886475629794,2.01706872528087,64.6023948542608,19.5736764397274,147.291821500642
"7",0.06,0.872182758516828,4,1.26128687875789,13.0643439378643,0.634774856220509,3.30020390742543,0.143203733995411,0.349277629758133,0.105826524919872,0.350610200771838,3.21392684039841,10.1932057357377,317.921001397684,3293.0092093084,160.001869004167,831.852093869789,36.096050218602,88.039204790483,26.6747203539415,88.3750937291896,810.10502584836,2569.3077677536,5.21221483512754,2.43824980213602,11.6319927671435,1.39405136589446,0.200626350370976,7.45187926688485,0.315558538439118,8.83750937291896,81.010502584836,28.799237997658,10,1e-05,25.1234334356095,6.6997459900359,8.30321673011337,15.3886478353222,2.0170686784428,64.6023904000643,19.5736740491794,147.291822881409
"8",0.07,0.849819097904936,4,1.26128686378901,13.0643431889215,0.634774794670614,3.30020415908563,0.143203734230422,0.349277646427294,0.105826549512504,0.419809539774863,3.29850352504184,10.1932046907964,309.769177122726,3208.57289128011,155.899241836754,810.522614677742,35.1705105214513,85.7817933631034,25.9907592010802,103.104265506791,810.104942835231,2503.42782436188,5.07856843861974,2.37573040066382,11.3337351102597,1.35830653136565,0.195482070249769,7.26080504268897,0.307467333836505,10.3104265506791,81.0104942835231,28.0607920201222,10,1e-05,25.1234367675114,6.69974632139724,8.30321855619843,15.3886497678778,2.01706872703915,64.6023934831923,19.5736785978326,147.291807782009
"9",0.08,0.827455445094799,4,1.26128686808737,13.0643433929019,0.634774812304821,3.30020407882258,0.143203733193036,0.349277641278642,0.105826542288445,0.492749420874925,3.38765232585865,10.1932049887629,301.617360492558,3124.13684026598,151.796635831839,789.193060299339,34.2449708398709,83.5243772903794,25.3067903604653,117.833447306007,810.104963941623,2437.54823859568,4.94492193457616,2.3132112251533,11.0354793719607,1.32256161368203,0.190337816245695,7.06973139886862,0.299376079515726,11.7833447306007,81.0104963941623,27.3223515228585,10,1e-05,25.1234362714773,6.69974625094482,8.30321802447211,15.3886488618038,2.01706877738815,64.6023925308976,19.5736772616708,147.291812087624
"10",0.09,0.805091782957127,4,1.26128686826989,13.0643434466154,0.634774816783708,3.30020405881541,0.143203732939628,0.349277640572093,0.105826539507822,0.569741525791545,3.48175381458869,10.19320506595,293.465539449191,3039.70071643536,147.694024826976,767.86351208204,33.3194309680811,81.2669613762258,24.6228223618187,132.562629818202,810.104970671041,2371.66857013146,4.81127536219787,2.25069201404005,10.737223271999,1.28681670046483,0.185193547796354,6.87865761357242,0.291284828596,13.2562629818202,81.0104970671041,26.5839098153861,10,1e-05,25.1234358189678,6.69974620691929,8.3032180069065,15.3886486567013,2.01706876850946,64.6023924002143,19.5736767473668,147.291813202977
